looks,height,confidence,talk_frequency,shared_interests,likes_you
1,164,2,6,5,0
8,186,3,5,9,1
7,170,1,8,3,0
2,163,9,9,7,1
8,151,8,3,1,0
1,160,2,10,4,0
9,188,9,3,4,1
9,187,7,3,7,1
2,183,9,6,8,1
7,187,6,1,1,0
10,183,6,7,5,1
3,167,4,1,7,0
7,179,10,5,4,1
10,164,10,10,4,1
9,176,2,8,4,1
4,183,7,4,6,0
1,187,5,5,7,0
2,182,6,4,2,0
1,173,2,4,5,0
5,164,5,8,4,0
5,179,10,2,3,0
7,191,4,1,7,0
9,166,9,3,6,1
9,154,6,9,7,1
3,178,2,4,5,0
3,153,1,10,6,0
3,159,5,5,5,0
4,166,9,2,7,1
8,159,6,4,2,0
6,166,10,2,5,1
8,169,7,2,6,1
1,173,5,4,6,0
8,154,10,6,5,1
4,183,6,7,10,1
1,155,5,10,7,0
8,151,9,3,10,1
4,162,6,3,8,0
6,192,8,10,7,1
8,192,2,6,5,0
4,160,9,3,1,0
3,172,5,2,5,0
9,165,7,8,10,1
3,180,10,5,2,0
9,160,1,1,5,0
2,165,10,3,5,0
2,157,5,10,2,0
2,153,10,8,5,1
6,189,2,4,4,0
3,153,6,7,1,0
9,174,1,10,3,1
4,152,3,2,1,0
1,181,5,7,5,0
4,152,4,5,4,0
1,176,3,5,7,0
5,178,10,6,5,1
4,181,5,9,10,1
8,168,8,6,4,1
8,170,4,8,2,1
7,154,1,7,4,0
3,167,7,9,2,0
1,177,8,4,8,0
1,191,3,2,3,0
3,171,6,7,9,1
6,170,2,6,4,0
7,155,7,1,6,1
6,150,8,9,10,1
6,154,6,9,5,1
6,190,6,2,10,1
3,161,5,3,1,0
6,175,8,5,9,1
8,183,1,5,1,0
2,163,10,1,8,0
5,175,4,8,9,1
1,194,4,8,9,0
1,176,3,4,1,0
5,158,3,7,2,0
3,175,4,10,1,0
4,171,1,3,10,0
3,179,2,6,2,0
1,192,9,10,10,1
1,166,10,10,8,1
5,175,2,9,5,0
6,185,5,1,7,0
3,150,9,5,2,0
9,157,9,4,8,1
5,184,8,8,6,1
8,164,1,1,8,0
1,171,1,9,1,0
5,163,9,6,1,0
3,175,8,4,7,1
1,177,10,9,8,1
4,172,9,5,3,0
5,163,7,5,5,1
7,173,3,5,1,0
1,151,3,1,7,0
3,194,2,1,5,0
2,175,5,8,8,1
9,163,3,8,8,1
10,156,6,6,9,1
6,152,2,4,7,0
10,172,3,2,1,0
3,192,5,2,3,0
8,194,1,9,8,1
8,167,1,5,3,0
2,187,10,4,8,1
6,184,9,10,1,1
7,164,7,1,5,0
2,174,1,7,4,0
10,186,8,3,5,1
2,177,3,6,8,0
10,159,8,5,10,1
1,188,5,5,4,0
8,166,1,5,4,0
1,188,7,1,3,0
9,171,5,1,7,1
6,175,6,3,3,0
7,193,6,10,3,1
10,174,8,4,10,1
7,166,9,5,5,1
10,162,2,2,5,0
3,169,9,8,6,1
2,174,10,2,8,1
9,153,9,9,10,1
8,159,10,2,6,1
10,152,10,9,1,1
7,190,7,7,8,1
9,194,1,8,8,1
4,167,7,2,9,1
4,185,10,7,9,1
1,171,5,6,2,0
8,183,6,4,2,0
3,157,10,7,3,1
7,189,7,4,1,0
2,193,5,2,4,0
2,168,7,10,4,0
7,191,9,7,9,1
6,190,3,8,9,1
3,186,8,2,9,1
9,155,2,5,10,1
10,175,7,1,7,1
6,183,2,7,2,0
10,194,4,8,10,1
10,155,7,6,5,1
6,186,3,5,4,0
1,182,2,6,8,0
4,171,10,2,2,0
10,170,7,1,6,1
6,155,1,7,5,0
6,155,8,7,2,1
5,153,3,10,10,1
1,179,2,10,1,0
8,160,3,2,8,1
5,179,5,2,2,0
5,180,8,1,7,1
7,173,10,10,9,1
4,158,7,8,9,1
6,152,7,8,8,1
4,180,7,1,10,1
3,189,8,8,9,1
7,186,1,9,2,0
8,185,4,4,6,1
4,173,6,1,4,0
2,180,9,1,4,0
10,155,2,3,5,0
3,151,1,5,3,0
1,169,10,5,1,0
8,177,2,9,8,1
3,160,7,10,5,1
10,153,3,2,3,0
7,164,10,2,10,1
10,155,2,6,7,1
5,179,7,9,7,1
10,187,2,1,1,0
5,151,3,9,9,1
7,164,7,9,2,1
9,160,4,9,5,1
5,157,1,5,5,0
1,175,5,9,8,0
10,194,9,4,8,1
10,193,8,2,7,1
1,154,9,6,7,1
2,155,10,4,6,0
6,175,9,6,6,1
9,153,7,3,9,1
8,168,4,6,6,1
5,169,5,2,2,0
1,182,1,2,2,0
7,169,1,9,5,0
5,161,3,7,4,0
6,150,8,3,2,0
7,175,2,1,3,0
3,163,4,8,7,0
10,187,2,6,8,1
3,186,5,7,6,0
5,160,9,9,5,1
6,185,1,5,1,0
9,162,5,1,8,1
5,192,9,10,3,1
1,152,1,7,6,0
4,182,9,5,3,0
5,155,8,3,7,1
10,159,4,9,7,1
10,154,10,1,9,1
5,172,5,1,5,0
7,159,5,1,8,1
4,193,6,3,10,1
1,151,7,6,10,1
5,162,8,10,8,1
7,189,8,3,1,0
10,151,2,8,5,1
10,169,9,10,3,1
6,150,7,2,1,0
5,186,4,9,4,0
4,158,4,3,8,0
2,166,8,5,3,0
4,158,4,10,10,1
10,160,6,8,2,1
10,164,5,2,9,1
3,173,3,6,10,0
10,187,10,5,5,1
1,184,2,10,7,0
8,179,9,9,2,1
5,180,10,5,9,1
4,154,9,2,9,1
8,193,1,5,4,0
7,163,10,4,4,1
2,160,3,7,6,0
1,158,8,6,10,1
4,183,6,2,10,1
8,161,5,5,10,1
2,184,5,7,6,0
3,184,6,7,1,0
1,150,7,5,9,0
1,189,1,9,2,0
3,171,9,4,5,0
5,178,3,3,9,0
3,157,4,4,4,0
1,160,10,5,3,0
1,190,1,6,7,0
8,186,10,3,6,1
10,163,3,2,8,1
2,179,2,4,3,0
3,184,2,5,5,0
2,170,1,4,10,0
3,186,8,3,4,0
7,154,3,8,4,0
1,168,3,10,4,0
10,163,6,4,10,1
8,175,8,2,8,1
10,153,9,2,6,1
10,174,9,1,3,1
10,194,4,4,10,1
2,191,5,10,5,0
3,174,2,9,6,0
9,167,9,7,5,1
7,189,8,10,6,1
4,157,3,7,8,0
10,188,9,7,7,1
5,189,3,8,5,0
2,163,9,1,10,1
8,181,2,10,6,1
4,187,10,10,4,1
9,182,9,8,9,1
5,172,8,4,4,0
9,164,9,4,1,1
4,182,5,4,7,0
10,174,2,6,7,1
5,166,8,7,4,1
9,182,6,6,3,1
8,151,8,1,8,1
3,163,5,8,5,0
1,189,10,10,10,1
3,189,2,7,7,0
4,188,6,6,4,0
2,155,5,6,4,0
1,155,5,5,8,0
7,152,1,6,8,1
8,156,2,9,2,0
7,157,8,10,2,1
5,191,3,9,3,0
1,164,10,10,3,1
7,178,3,8,1,0
7,182,8,10,3,1
9,179,8,9,6,1
3,188,2,10,8,0
